BlockCode,MaxAdDown,MaxAdUp
090010102011011,101.0,35.0
090010102011012,101.0,35.0
090010102011013,101.0,35.0
090010102011014,101.0,35.0
090010102011015,101.0,35.0
090010102011016,101.0,35.0
090010102011017,101.0,35.0
090010102011018,101.0,100.0
090010102011019,101.0,35.0
090010102011020,101.0,35.0
090010102011021,101.0,35.0
090010102011022,101.0,35.0
090010102011023,101.0,35.0
090010102011024,101.0,100.0
090010102011025,101.0,35.0
090010102011026,101.0,100.0
090010102011027,101.0,35.0
090010102011028,101.0,100.0
090010102011029,101.0,100.0
090010102011030,101.0,100.0
090010102011031,101.0,100.0
090010102011032,101.0,35.0
090010102011033,101.0,100.0
090010102012000,101.0,100.0
090010102012001,101.0,35.0
090010102012002,101.0,35.0
090010102012003,101.0,35.0
090010102012004,101.0,35.0
090010102012005,101.0,35.0
090010102012006,101.0,35.0
090010102012007,101.0,35.0
090010102012008,101.0,100.0
090010102012009,101.0,100.0
090010102012010,101.0,35.0
090010102012011,101.0,100.0
090010102012012,101.0,100.0
090010102012013,101.0,100.0
090010102012014,101.0,100.0
090010102012015,101.0,100.0
090010102012016,101.0,100.0
090010102012017,101.0,35.0
090010102012018,101.0,100.0
090010102012019,101.0,100.0
090010102012020,101.0,100.0
090010102012021,101.0,100.0
090010102012022,101.0,100.0
090010102013000,101.0,35.0
090010102013001,101.0,35.0
090010102013002,101.0,35.0
090010102013003,101.0,35.0
090010102013004,101.0,100.0
090010102013005,101.0,35.0
090010102013006,101.0,35.0
090010102013007,101.0,100.0
090010102013008,101.0,35.0
090010102013009,101.0,35.0
090010102013010,101.0,35.0
090010102013011,101.0,35.0
090010102013012,101.0,35.0
090010102013013,101.0,35.0
090010102013014,101.0,35.0
090010102013015,101.0,100.0
090010102013016,101.0,100.0
090010102013017,101.0,100.0
090010102013018,101.0,100.0
090010102013019,101.0,35.0
090010102013020,101.0,100.0
090010102013021,101.0,100.0
090010102013022,101.0,100.0
090010102021000,101.0,100.0
090010102021001,101.0,100.0
090010102021002,101.0,100.0
090010102021003,101.0,35.0
090010102021004,101.0,100.0
090010102021005,101.0,100.0
090010102021006,101.0,100.0
090010102021007,101.0,100.0
090010102021008,101.0,100.0
090010102021009,101.0,100.0
090010102021010,101.0,100.0
090010102021011,101.0,35.0
090010102021012,101.0,100.0
090010102022000,101.0,100.0
090010102022001,101.0,100.0
090010102022002,101.0,100.0
090010102022003,101.0,35.0
090010102022004,101.0,100.0
090010102022005,101.0,100.0
090010102022006,101.0,100.0
090010102022007,101.0,100.0
090010102022008,101.0,35.0
090010102022009,101.0,100.0
090010102022010,101.0,100.0
090010102022011,101.0,100.0
090010102022012,101.0,100.0
090010102022013,101.0,100.0
090010102022014,101.0,100.0
090010102023000,101.0,35.0
090010102023001,101.0,35.0
090010102023002,101.0,35.0
090010102023003,101.0,35.0
090010102023004,101.0,35.0
090010102023005,101.0,35.0
090010102023006,101.0,35.0
090010102023007,101.0,35.0
090010102023008,101.0,100.0
090010102023009,101.0,100.0
090010102023010,101.0,100.0
090010102023011,101.0,100.0
090010102023012,101.0,35.0
090010102023013,101.0,100.0
090010102023014,101.0,35.0
090010102023015,101.0,35.0
090010102023016,115.0,35.0
090010102024000,101.0,100.0
090010102024001,101.0,100.0
090010102024002,101.0,35.0
090010102024003,101.0,100.0
090010102024004,101.0,100.0
090010102024005,101.0,100.0
090010102024006,101.0,35.0
090010102024007,101.0,35.0
090010102024008,101.0,35.0
090010102024009,101.0,35.0
090010102024010,101.0,35.0
090010102024011,101.0,100.0
090010102024012,101.0,100.0
090010103001000,101.0,35.0
090010103001001,101.0,100.0
090010103001002,101.0,100.0
090010103001003,101.0,100.0
090010103001004,101.0,100.0
090010103001005,101.0,100.0
090010103001006,101.0,100.0
090010103001007,101.0,100.0
090010103001008,101.0,100.0
090010103001009,101.0,100.0
090010103001010,101.0,100.0
090010103001011,101.0,35.0
090010103002000,101.0,100.0
090010103002001,101.0,100.0
090010103002002,101.0,35.0
090010103002003,101.0,100.0
090010103002004,101.0,100.0
090010103002005,101.0,100.0
090010103002006,101.0,100.0
090010103002007,101.0,100.0
090010103002008,101.0,35.0
090010103002009,101.0,100.0
090010103002010,101.0,100.0
090010103002011,101.0,35.0
090010103002012,101.0,100.0
090010103002013,101.0,100.0
090010103002014,101.0,100.0
090010103002015,101.0,100.0
090010103002016,101.0,100.0
090010103002017,101.0,100.0
090010103002018,101.0,100.0
090010103002019,101.0,35.0
090010103003000,101.0,100.0
090010103003001,101.0,100.0
090010103003002,101.0,100.0
090010103003003,101.0,100.0
090010103003004,101.0,100.0
090010103003005,101.0,100.0
090010103003006,101.0,35.0
090010103003007,101.0,100.0
090010103003008,101.0,100.0
090010103003009,101.0,100.0
090010103003010,101.0,35.0
090010103003011,101.0,100.0
090010103003012,101.0,100.0
090010103003013,101.0,100.0
090010103003014,101.0,100.0
090010103003015,101.0,35.0
090010103003016,101.0,35.0
090010103003017,101.0,100.0
090010103003018,101.0,100.0
090010103003019,101.0,35.0
090010103004000,101.0,100.0
090010103004001,101.0,100.0
090010103004002,101.0,35.0
090010103004003,101.0,100.0
090010103004004,101.0,35.0
090010103004005,101.0,100.0
090010103004006,101.0,35.0
090010103004007,101.0,100.0
090010103004008,101.0,100.0
090010103004009,101.0,100.0
090010103004010,101.0,100.0
090010103004011,101.0,100.0
090010103004012,101.0,100.0
090010103004013,101.0,100.0
090010103004014,101.0,100.0
090010103004015,101.0,100.0
090010103004016,101.0,100.0
090010103004017,101.0,100.0
090010103004018,101.0,100.0
090010103004019,101.0,100.0
090010103004020,101.0,35.0
090010103004021,101.0,100.0
090010103004022,101.0,100.0
090010103005000,101.0,100.0
090010103005001,101.0,35.0
